,dfxBuyRoutes,dfxSellRoutes,dfxBuyVolume,dfxSellVolume,dfxBuyVolumeCHF,dfxSellVolumeCHF
2021-09-04 15:01,235.0,0.0,21999.776749007106,0.0,,
2021-09-04 16:01,237.0,0.0,21999.776749007106,0.0,,
2021-09-04 17:01,237.0,0.0,21999.776749007106,0.0,,
2021-09-04 18:01,237.0,0.0,21999.776749007106,0.0,,
2021-09-04 19:02,238.0,0.0,21999.776749007106,0.0,,
2021-09-04 20:02,238.0,0.0,21999.776749007106,0.0,,
2021-09-04 21:02,238.0,0.0,21999.776749007106,0.0,,
2021-09-04 22:01,238.0,0.0,21999.776749007106,0.0,,
2021-09-04 23:02,238.0,0.0,21999.776749007106,0.0,,
2021-09-05 00:04,238.0,0.0,21999.776749007106,0.0,,
2021-09-05 01:02,238.0,0.0,21999.776749007106,0.0,,
2021-09-05 02:03,238.0,0.0,21999.776749007106,0.0,,
2021-09-05 03:02,238.0,0.0,21999.776749007106,0.0,,
2021-09-05 04:02,238.0,0.0,21999.776749007106,0.0,,
2021-09-05 05:03,238.0,0.0,21999.776749007106,0.0,,
2021-09-05 06:03,238.0,0.0,21999.776749007106,0.0,,
2021-09-05 07:02,240.0,0.0,21999.776749007106,0.0,,
2021-09-05 08:02,244.0,0.0,21999.776749007106,0.0,,
2021-09-05 09:02,246.0,0.0,21999.776749007106,0.0,,
2021-09-05 10:02,247.0,0.0,21999.776749007106,0.0,,
2021-09-05 11:02,251.0,0.0,21999.776749007106,0.0,,
2021-09-05 12:02,251.0,0.0,21999.776749007106,0.0,,
2021-09-05 13:01,252.0,0.0,21999.776749007106,0.0,,
2021-09-05 14:02,252.0,0.0,21999.776749007106,0.0,,
2021-09-05 15:02,252.0,0.0,21999.776749007106,0.0,,
2021-09-05 16:01,252.0,0.0,21999.776749007106,0.0,,
2021-09-05 17:01,253.0,0.0,21999.776749007106,0.0,,
2021-09-05 18:01,255.0,0.0,21999.776749007106,0.0,,
2021-09-05 19:01,255.0,0.0,21999.776749007106,0.0,,
2021-09-05 20:02,255.0,0.0,21999.776749007106,0.0,,
2021-09-05 21:01,255.0,0.0,21999.776749007106,0.0,,
2021-09-05 22:01,255.0,0.0,21999.776749007106,0.0,,
2021-09-05 23:01,255.0,0.0,21999.776749007106,0.0,,
2021-09-06 00:08,255.0,0.0,21999.776749007106,0.0,,
2021-09-06 01:02,255.0,0.0,21999.776749007106,0.0,,
2021-09-06 02:02,255.0,0.0,21999.776749007106,0.0,,
2021-09-06 03:02,255.0,0.0,21999.776749007106,0.0,,
2021-09-06 04:02,255.0,0.0,21999.776749007106,0.0,,
2021-09-06 05:02,256.0,0.0,21999.776749007106,0.0,,
2021-09-06 06:02,257.0,0.0,21999.776749007106,0.0,,
2021-09-06 07:02,261.0,0.0,21999.776749007106,0.0,,
2021-09-06 08:02,264.0,0.0,21999.776749007106,0.0,,
2021-09-06 09:02,269.0,0.0,21999.776749007106,0.0,,
2021-09-06 10:02,271.0,0.0,23223.360610777207,0.0,,
2021-09-06 11:02,271.0,0.0,25362.21405104159,0.0,,
2021-09-06 12:02,272.0,0.0,25362.21405104159,0.0,,
2021-09-06 13:01,275.0,0.0,27791.278077483166,0.0,,
