address,balance,mnAddress
8Qv3ogu3t7hm128F98qU8KsJuSDxU1UVpZ,1000000.0,True
8dDBEniWkFoPBrECL1bmyjx8xfkg5CdSMa,1000000.0,True
8ZiUZJ14cVqkgtQwWhjQcuiHeWHN74RPeX,1000000.0,True
8bxd58gGDtk9sHfCez7YNynHJvqarwwA4v,1000000.0,True
8aUjHmX8uQta3ZT94Vfm6ThW3EWkHca6Pb,1000000.0,True
8PFVntkf2zRBm2KddZrK5SSnkEhrpW21Qd,1000000.0,True
8MMCHMVi4Hgh2GMhrXn239ZsYsMng3pTgT,1000000.0,True
8djAB6gUGhupHiNk1T1CLKC57eeErL2aZK,1000000.0,True
8cTHbL3SdN6HwxGr3RU39KRJfKURcYR35i,1000000.0,True
8cYWjdC9H28UXwWkTCTFDsGWrtwiaWQMVi,1000000.0,True
8VzPyyLHkXpPvfwAqyQo1b6oiRKApu2eGv,1000000.0,True
8JbnpY7efkEnCpLhremyKSSNYGXVdCUE7L,1000000.0,True
8W16dNfpVDKCbt3pyAiXG4u7L6pEbgbqpC,1000000.0,True
8PaQZrKbb9TK4ijY2fYuQ9cHQ5p88sUvSG,1000000.0,True
8FphQuBa25UGYAK9F6HB3bh6ukRSbRsGMn,1000000.0,True
8GDQwiYrQxomXNgtrnn1Rtd2r7sCBsuoDt,1000000.0,True
8cGxqMonbmvH4aJ88jvoZBpRf7nWX8tg4u,1000000.0,True
8TaKhGxH3APhU11KLgomGuQtBmyRrc8yhm,1000000.0,True
8V2KZcnVCARSwFkSoDkUW7kxDngptid76d,1000000.0,True
8HGDazrXxiSe6myRw7TZ5yBRAigoeVTk5z,1000000.0,True
8NRKEMSgVUouHHVxtLpcUDxH2bM1oYZ3jo,1000000.0,True
8FQ67ZMTNMEbpQEUzZ5MbAFKKfJTo1uLNx,1000000.0,True
8Gt1mbsKmfu4y1VHhqYWPB8XD44Y9Nd7r2,1000000.0,True
8R5qpGRV4zqwwXJepv7gbZqqjM4t8noM2s,1000000.0,True
8bAS35APdL6MYnmEgGbx8G6sUhLg1crsJ4,1000000.0,True
dW8t3YHExPw89Kj2wWkRjswVgzr9BceKVX,984414.49963718,False
dKq2NQwzPDHN4eXn3WZeViSnV3KieuSkUP,949172.7323542,False
8RPZm7SVUNhGN1RgGY3R92rvRkZBwETrCX,635415.99371406,True
8KRsoeCRKHUFFmAGGJbRBAgraXiUPUVuXn,628260.79730806,True
dZFYejknFdHMHNfHMNQAtwihzvq7DkzV49,500000.0,False
8Wwo5MzBEKaFLCGVrnvxoNVFmKNim5e46s,396395.3865828,False
dVKLGC3h6ruYqZNtEGRWFGjd5ZUnyQFmyz,300000.0,False
dW95szgdduHdgtzDNHvug36bPj4cptahwz,300000.0,False
dDgX1HmLbvtVqv8vM7ASWqyA9nBPrZDxd4,258500.0,False
dE4oFiAKAmpFbU3aWfJxZY7xWbhUbBPV42,200001.9999664,False
8SYMR5DF2nyRy9PwhcdmHcmvP3gh6swopD,181459.39001278,False
dRdfdw59dUeMTCmdT5MbSAounrCvT5fxH3,160005.98987894,False
dG3amXmvjsX5nHcv7tqqPFkzYu7tW9vEpM,148752.0,False
dLDk23ETq299YtFKrgLkcRgZFkv4Qe3fot,134078.70618015,False
dWe3EnNVW3GWUEkxUJuhXPHkhFt7Z8xYEm,120000.00068456,False
dNdkka4P9EBA4vGv75bUyenbJUpkHQuXzk,119999.99918177,False
dTQAzZ4VzoSiT6mKa4iBeYxdnP71hVfHyi,119984.99902112,False
dHUYVd9SC46CgXB3NB2X5xHzG3yg5KJrnc,119939.99902112,False
dKwivNazVDajneqtyjizQnW1MHGvvPJ2TR,119910.00152133,False
dRrQ3fGnSpMLohphPEQWSb8kHh28AzD2mK,119894.99902112,False
dKGzfXuoPExC2cMcePnVhX58zsJow8Gxka,119864.99985409,False
dHMRqDVZWuGFEzk9QNQqQFsRDQjvoqtj5d,119864.99979849,False
dFRR7sZTTQRnNVQUN55pEDkotMTdZn8XPw,119849.99985461,False
dLAJqjWiJwAkC9ewZLr92m7183JbQHQs4h,119849.99906411,False
