address,balance,mnAddressAPI
8c4nfFHH951avjfvZgCng8g5yiVamWuhDH,1000000.0,True
8JGnfDWipbDmtPEhjdeZAzJocJEDfMcaD9,1000000.0,True
8X6SLxhz1bzAiQo45RapbPhiG6KjEGxYBp,1000000.0,True
8Q6hh9WhtJFZzrW5fzq3SbkkeFoF7wLh9c,1000000.0,True
8YcbvyhZPCXCsUH4zyes6LRG73Ph9WWpXB,1000000.0,True
8GLF6ioSdrRoGoyQC868DtyKgMWkPbbby4,1000000.0,True
8QSkEt2AmnrMipNC4dCTpoTVZMovNvZwAj,1000000.0,True
8aSBznCrLc8kWSmy2sLxiiHQgbe3NRKQcB,1000000.0,True
8X9chwcKCzpG2QUKozYo3dcaff885TmBxp,1000000.0,True
8JFk8o5BKquJUHBmprTGx72yy187RwCqsz,1000000.0,True
8ZYpXKSvMpfCTkHPti1rWwP9LwFKws85ti,1000000.0,True
8QQ6ZEUX9bkRrusgahDBetcwRcbErt7ZvZ,1000000.0,True
8dybGtHAQLc3gfQrm4fXrRB65sD5fQFXEm,1000000.0,True
8SsiHeD7pLDhRmR2yiF6TGDHsJXiwzKMdT,1000000.0,True
8KeF3owaWK3icc37HPWsPtUq5jrCiDa3sK,1000000.0,True
8TPiLw9jSkjS5ErFATELqL5fcxfjtBzhYY,1000000.0,True
8TVuCv31MVmKjQbPwaXNooyzr3dStqbhY9,1000000.0,True
8TkzdYk3yzVgSq7j9ihspW5qD4jZ9da8b6,1000000.0,True
8Yp5SbxE7kRdMa3LW96uU6w3h4jt9t9j1z,1000000.0,True
8aZg5XPscdQ6mRFU6GRR6vFNiSPXpraQqP,1000000.0,True
8V1YUzDJsC5fhMzCdmz4HKV3APJExG5VG8,1000000.0,True
8Wq5Vm6Y9HtsCw4ziLiHcmtcqGJEHmtJ6N,1000000.0,True
8V8epB69taZSr9kbnsgFQa3AiDgjqkLW92,1000000.0,True
8YQNA3QirEZTR6D12pi5uFRT8P4tos8FCg,1000000.0,True
8VqR1URi1zJPLbxiAC2iQiaAhEop3N7quF,1000000.0,True
8QdVeBF1NbfryZtkVFg6ai32sufhBqR7st,1000000.0,True
8Vt64v7dNpS3XjPrEKWJPqa2eFbKGNZC9u,1000000.0,True
8VwszPSzgpJ7mDrck3GKdC5EVPpbifyPES,1000000.0,True
8dDBEniWkFoPBrECL1bmyjx8xfkg5CdSMa,1000000.0,True
8Wm14DjR6kiohatcmigKZUsAB6e9padB5j,1000000.0,True
8JGDz6azSW7raVSzcgAWEQXsynKNxzk1kB,1000000.0,True
8L6DvHxWp7MEaiNzZkHsrY4x3gnqatQUoZ,1000000.0,True
8Xkx1RNAS7zdHH5fmFSFreURKJpbwcnaVw,1000000.0,True
8T8GcfsjdPQ7qfZh6k6pkRZZ2VL9kFDevX,1000000.0,True
8cG6F4tsyH7ArCixNEbkdRUtN7WH2D9JgU,1000000.0,True
8Xs6NNNw33XTs6VrofWaDwrRo8eBoXELPi,1000000.0,True
8HqgWUfXQnDqTNHXsYrpmsgnS9SR5vgs45,1000000.0,True
8YXUQwQcorDyUrptN5nJKbAcWtW9MBpgdS,1000000.0,True
8YdUaLz9Q7P8HSGoNLz4DpxGRrEsCC2iip,1000000.0,True
8Ymn7ePDgcrCCyN9Zr4pTWbQrTWHE4nHbd,1000000.0,True
8YvEn8JsnAhMaxd8CdNfM9ySzFMgtWiA8M,1000000.0,True
8R5osEPYD7oBbJBESf24PpC4MT1WGFjw3W,1000000.0,True
8ZP7WCxbgzRdixVEh9x3jKb33MCEbyq1LE,1000000.0,True
8Tr3ZXHa18qDMJhPwCdfXNTjf7oZcT85iw,1000000.0,True
8dEfagfYUXAd2DsUfvDLdhicRbBmEj9da5,1000000.0,True
8KS924YpECYVB84ZpNGo38SzwwTeM57qJz,1000000.0,True
8aGXT6eWdeGVzPw48eotutpG8PaKj9X873,1000000.0,True
8ahKL5u6a2ja9DBgreiUanjqBuVAW1muy1,1000000.0,True
8aw7NdLgTMRE7T59U4qPTbQNcuc2cC7rGB,1000000.0,True
8bAS35APdL6MYnmEgGbx8G6sUhLg1crsJ4,1000000.0,True
8bLmyseB3FYoWsJjUnysX7PYryxQBqePuH,1000000.0,True
8Pyhd746fsFPtAdbCdn2dBkthCeFty9jmX,1000000.0,True
8cLPN4diDtw8oG2ZxD58SQsprfyHyccnG4,1000000.0,True
8dB7kZazQgLjDgqkbUTyzqweJn8QPHfDC2,1000000.0,True
8XYsRxbQ89w48paRWXwLAjU3GStNB5cKad,1000000.0,True
8QmWhTavSjGkbdLsETLqXS3YGBcfxBvhZT,1000000.0,True
8J3ESPMApx1jcwWGsVo8vPe7rKUMGFHJtw,1000000.0,True
8RzCdPywzXmYqQ5jsDgJC5zDHs45hLrxGZ,1000000.0,True
8JYR84FxPrErnV7cyvS9T9aL95bkLfcvrz,1000000.0,True
8QGQgpdfG7uahWw9iTVyZtndMkWyM8EbNj,1000000.0,True
8Qv3ogu3t7hm128F98qU8KsJuSDxU1UVpZ,1000000.0,True
8ZiUZJ14cVqkgtQwWhjQcuiHeWHN74RPeX,1000000.0,True
8MMCHMVi4Hgh2GMhrXn239ZsYsMng3pTgT,1000000.0,True
8cTHbL3SdN6HwxGr3RU39KRJfKURcYR35i,1000000.0,True
8ZDPmv13ueMcBeMudpTfr3wUrdomqnFRPE,1000000.0,True
8Z2u6tWWreNkAkD11FLqxTk5Yvn3LnekfE,1000000.0,True
8JbnpY7efkEnCpLhremyKSSNYGXVdCUE7L,1000000.0,True
8aCzXofRWajMyeezSCEm7cfySusGKhhp9H,1000000.0,True
8FphQuBa25UGYAK9F6HB3bh6ukRSbRsGMn,1000000.0,True
8WReqPNYihwnhq6HdpHd4EaiUg1bpZWpTt,1000000.0,True
8cYWjdC9H28UXwWkTCTFDsGWrtwiaWQMVi,1000000.0,True
8YHwQysFeptgGXWGPD9r6DMvosUa6chcjT,1000000.0,True
8GDQwiYrQxomXNgtrnn1Rtd2r7sCBsuoDt,1000000.0,True
8V2KZcnVCARSwFkSoDkUW7kxDngptid76d,1000000.0,True
8TwiEc6MY1QKjmwGLWy7jDrazb2CQksywR,1000000.0,True
8NRKEMSgVUouHHVxtLpcUDxH2bM1oYZ3jo,1000000.0,True
8dqMB7VT6p5pJLoLQnFqt7hcEw4oww8pdF,1000000.0,True
8H6G3QkxqEcRwMosL2tQH2YCtC8qNqcrqU,1000000.0,True
8Lh3cgC81dTPwJJ5U3dmNzCJ6xkYBYwbEW,1000000.0,True
8PTT1Yk89hbmUfgizxDyiCV8iMj46Uod3f,1000000.0,True
8SnN9wjiF8QDTbStxGRHXvGUmuCE9pG7vt,1000000.0,True
8Lr2RpnL5RrZnXwzd9N5j4vJ3mNjUk35TV,1000000.0,True
8Gt1mbsKmfu4y1VHhqYWPB8XD44Y9Nd7r2,1000000.0,True
dW8t3YHExPw89Kj2wWkRjswVgzr9BceKVX,984414.49963718,False
8RPZm7SVUNhGN1RgGY3R92rvRkZBwETrCX,639736.04340071,True
8KRsoeCRKHUFFmAGGJbRBAgraXiUPUVuXn,633120.93565694,True
dZFYejknFdHMHNfHMNQAtwihzvq7DkzV49,500000.0,False
8Sw3KCXrgDebZBeFTDuoe5GMZQZ2vZRkt1,361645.65898848,False
dQdMKxr1oGu9exFYoDyexqyzHDFyX5fjs9,327041.4369081,False
dW95szgdduHdgtzDNHvug36bPj4cptahwz,300000.0,False
dVKLGC3h6ruYqZNtEGRWFGjd5ZUnyQFmyz,300000.0,False
dE4oFiAKAmpFbU3aWfJxZY7xWbhUbBPV42,200001.9999664,False
dRdfdw59dUeMTCmdT5MbSAounrCvT5fxH3,176005.98987894,False
dLgwGaJeAeppePBcoi7m5fuh9Y3E9SgnPs,161167.0699395,False
dWe3EnNVW3GWUEkxUJuhXPHkhFt7Z8xYEm,120000.00068456,False
dNdkka4P9EBA4vGv75bUyenbJUpkHQuXzk,119999.99918177,False
dTQAzZ4VzoSiT6mKa4iBeYxdnP71hVfHyi,119984.99902112,False
dHUYVd9SC46CgXB3NB2X5xHzG3yg5KJrnc,119939.99902112,False
dKwivNazVDajneqtyjizQnW1MHGvvPJ2TR,119910.00152133,False
dRrQ3fGnSpMLohphPEQWSb8kHh28AzD2mK,119894.99902112,False
dKGzfXuoPExC2cMcePnVhX58zsJow8Gxka,119864.99985409,False
dHMRqDVZWuGFEzk9QNQqQFsRDQjvoqtj5d,119864.99979849,False
dFRR7sZTTQRnNVQUN55pEDkotMTdZn8XPw,119849.99985461,False
dLAJqjWiJwAkC9ewZLr92m7183JbQHQs4h,119849.99906411,False
daVUhVxHgBWQh68sSgVHLj64njy3bnmmHp,119849.99897263,False
dZkn6kMaGvGXqi4G1ffzBoZYLJVNoMSPBd,119834.99910644,False
dWkVLsoVSMACVdK2so4Uh6Do1rjUJ6LcNe,119834.99902112,False
dJYTmwXjtyfPUCE9Kn8mXqeFiAgS5buWBp,119834.99901113,False
